Date,Open,High,Low,Close,Adj Close,Volume
2011-07-06,140.500000,140.899994,135.800003,136.000000,117.152397,7298000
2011-07-07,136.000000,140.300003,136.000000,139.699997,120.339645,2778000
2011-07-08,140.199997,142.699997,139.000000,141.000000,121.459488,1099377
2011-07-11,140.300003,141.899994,137.100006,138.000000,118.875237,441968
2011-07-12,137.000000,139.399994,136.000000,138.899994,119.650505,831778
2011-07-13,138.399994,141.399994,138.399994,141.300003,121.717911,798412
2011-07-14,140.300003,141.000000,139.100006,141.000000,121.459488,244994
2011-07-15,140.199997,141.699997,140.000000,141.500000,121.890182,450583
2011-07-18,141.000000,141.500000,138.000000,140.000000,120.598061,521098
2011-07-19,140.199997,141.800003,139.800003,140.000000,120.598061,3562762
2011-07-20,139.500000,140.000000,136.500000,137.500000,118.444527,341265
2011-07-21,137.699997,138.000000,136.199997,137.000000,118.013824,312364
2011-07-22,137.699997,137.699997,136.399994,136.500000,117.583122,164511
2011-07-25,136.500000,136.500000,136.000000,136.000000,117.152397,774734
2011-07-26,136.000000,136.600006,136.000000,136.199997,117.324692,1967827
2011-07-27,136.000000,136.100006,133.600006,134.600006,115.946426,3102984
2011-07-28,133.100006,135.500000,132.600006,135.500000,116.721695,174217
2011-07-29,134.199997,136.699997,134.199997,136.500000,117.583122,390032
2011-08-01,136.100006,137.600006,136.100006,137.000000,118.013824,427811
2011-08-02,136.500000,136.500000,133.800003,134.399994,115.774132,133132
2011-08-03,131.600006,133.399994,123.099998,126.000000,108.538261,474007
2011-08-04,125.500000,126.900002,113.800003,117.900002,101.560806,690419
2011-08-05,108.000000,116.000000,108.000000,113.500000,97.770576,623970
2011-08-08,110.500000,112.400002,101.500000,101.900002,87.778168,436986
2011-08-09,101.000000,104.599998,89.000000,94.300003,81.231407,967015
2011-08-10,100.000000,102.300003,85.500000,86.000000,74.081665,518657
2011-08-11,89.900002,100.000000,86.000000,100.000000,86.141472,816454
2011-08-12,103.599998,108.000000,101.000000,105.000000,90.448547,421377
2011-08-15,105.000000,105.000000,105.000000,105.000000,90.448547,0
2011-08-16,107.900002,107.900002,104.000000,106.099998,91.396103,226850
2011-08-17,105.900002,106.900002,104.199997,106.900002,92.085236,160493
2011-08-18,105.400002,105.400002,93.000000,96.300003,82.954247,343083
2011-08-19,93.099998,102.099998,91.000000,99.949997,86.098404,392089
2011-08-22,99.599998,103.099998,97.500000,100.599998,86.658318,187416
2011-08-23,102.599998,105.000000,101.800003,105.000000,90.448547,238245
