Date,Open,High,Low,Close,Adj Close,Volume
2011-05-10,39.770000,41.900002,39.110001,41.709999,34.242775,927600
2011-05-11,41.610001,41.610001,41.009998,41.009998,33.668091,55258
2011-05-12,40.700001,41.500000,39.830002,41.000000,33.659885,76529
2011-05-13,40.599998,40.680000,40.400002,40.529999,33.274029,12443
2011-05-16,40.549999,40.900002,40.480000,40.790001,33.487484,39808
2011-05-17,40.700001,40.779999,40.400002,40.410000,33.175507,69461
2011-05-18,40.500000,40.630001,40.410000,40.500000,33.249397,7886
2011-05-19,40.500000,40.560001,39.450001,40.549999,33.290447,23489
2011-05-20,40.580002,40.580002,40.230000,40.500000,33.249397,21690
2011-05-23,40.509998,40.509998,40.220001,40.299999,33.085205,39410
2011-05-24,40.000000,40.500000,39.599998,40.500000,33.249397,41476
2011-05-25,40.400002,41.000000,40.400002,41.000000,33.659885,9212
2011-05-26,40.750000,41.400002,40.700001,40.700001,33.413586,33342
2011-05-27,40.410000,40.799999,40.410000,40.750000,33.454639,9943
2011-05-30,40.459999,40.599998,40.099998,40.110001,32.929214,15048
2011-05-31,40.040001,41.680000,39.990002,41.459999,34.037533,60446
2011-06-01,41.459999,41.459999,40.500000,41.349998,33.947224,1527
2011-06-02,41.299999,41.299999,40.500000,41.189999,33.815865,6055
2011-06-03,40.549999,41.150002,40.500000,40.549999,33.290447,5806
2011-06-06,40.410000,41.000000,40.200001,41.000000,33.659885,38237
2011-06-07,40.500000,41.000000,40.500000,41.000000,33.659885,54230
2011-06-08,40.500000,41.000000,40.500000,41.000000,33.659885,118074
2011-06-09,40.799999,40.799999,40.500000,40.500000,33.249397,37810
2011-06-10,40.400002,40.500000,40.099998,40.500000,33.249397,56822
2011-06-13,40.400002,40.599998,40.400002,40.549999,33.290447,21872
2011-06-14,40.040001,40.310001,40.040001,40.310001,33.093410,57814
2011-06-15,40.009998,40.500000,40.009998,40.480000,33.232979,11765
2011-06-16,38.200001,40.049999,38.200001,40.000000,32.838909,16773
2011-06-17,39.849998,40.000000,39.400002,40.000000,32.838909,42272
2011-06-20,38.500000,40.000000,38.500000,39.700001,32.592621,96887
2011-06-21,39.500000,40.000000,39.500000,39.700001,32.592621,112899
2011-06-22,39.509998,40.490002,39.509998,40.000000,32.838909,3067
2011-06-23,40.000000,40.000000,40.000000,40.000000,32.838909,0
2011-06-24,39.990002,40.200001,39.810001,40.000000,32.838909,11715
