Date,Open,High,Low,Close,Adj Close,Volume
2001-05-16,48.400002,48.400002,44.500000,48.000000,37.564251,3428
2001-05-17,46.500000,47.900002,46.000000,47.900002,37.485996,2098
2001-05-18,46.099998,47.000000,46.099998,47.000000,36.781662,12
2001-05-21,48.099998,48.099998,46.000000,46.000000,35.999069,0
2001-05-22,48.099998,48.099998,46.099998,46.099998,36.077332,0
2001-05-23,48.099998,48.099998,46.099998,46.099998,36.077332,0
2001-05-24,48.000000,48.000000,48.000000,48.000000,37.564251,5
2001-05-25,48.400002,48.400002,48.400002,48.400002,37.877285,239
2001-05-28,49.000000,49.000000,48.500000,48.500000,37.955540,0
2001-05-29,48.299999,48.299999,48.299999,48.299999,37.799034,200
2001-05-30,48.099998,48.099998,48.099998,48.099998,37.642506,200
2001-05-31,48.099998,48.099998,48.099998,48.099998,37.642506,100
2001-06-01,47.599998,47.599998,47.599998,47.599998,37.251209,200
2001-06-04,47.500000,47.500000,47.000000,47.000000,36.781662,1700
2001-06-05,48.099998,48.099998,47.000000,47.000000,36.781662,340
2001-06-06,48.000000,48.099998,47.000000,48.099998,37.642506,247
2001-06-07,48.099998,48.099998,48.099998,48.099998,37.642506,400
2001-06-08,48.299999,48.299999,48.299999,48.299999,37.799034,100
2001-06-11,48.299999,48.299999,48.299999,48.299999,37.799034,50
2001-06-12,46.500000,48.400002,46.500000,48.400002,37.877285,250
2001-06-13,48.200001,48.200001,46.500000,46.500000,36.390362,0
2001-06-14,46.500000,46.500000,46.500000,46.500000,36.390362,0
2001-06-15,48.200001,48.500000,48.000000,48.500000,37.955540,3167
2001-06-18,48.500000,48.500000,48.500000,48.500000,37.955540,150
2001-06-19,48.599998,48.599998,47.500000,47.500000,37.172958,0
2001-06-20,49.000000,49.000000,47.500000,47.500000,37.172958,0
2001-06-21,47.500000,47.500000,47.500000,47.500000,37.172958,200
2001-06-22,48.000000,48.000000,48.000000,48.000000,37.564251,350
2001-06-25,48.099998,48.099998,48.000000,48.000000,37.564251,200
2001-06-26,48.000000,48.000000,47.500000,47.500000,37.172958,380
2001-06-27,48.000000,48.000000,46.500000,46.500000,36.390362,0
2001-06-28,49.000000,49.000000,48.000000,48.400002,37.877285,600
2001-06-29,49.000000,49.000000,49.000000,49.000000,38.346836,690
2001-07-02,48.099998,48.099998,48.099998,48.099998,37.642506,383
2001-07-03,48.400002,48.900002,48.400002,48.400002,37.877285,670
2001-07-04,48.500000,48.700001,48.500000,48.599998,38.033802,700
2001-07-05,48.500000,48.500000,48.500000,48.500000,37.955540,352
2001-07-06,48.799999,49.000000,48.799999,49.000000,38.346836,430
2001-07-09,49.099998,49.099998,49.099998,49.099998,38.425095,300
2001-07-10,49.000000,49.099998,49.000000,49.000000,38.346836,480
2001-07-11,49.000000,49.000000,49.000000,49.000000,38.346836,669
2001-07-12,49.000000,49.200001,49.000000,49.200001,38.503361,1470
2001-07-13,49.200001,49.200001,49.200001,49.200001,38.503361,0
2001-07-16,49.299999,49.299999,49.299999,49.299999,38.581612,290
2001-07-17,49.099998,49.299999,49.099998,49.299999,38.581612,780
2001-07-18,49.500000,49.599998,49.500000,49.599998,38.816391,862
2001-07-19,49.599998,49.900002,49.599998,49.900002,39.051167,2450
2001-07-20,50.000000,50.000000,50.000000,50.000000,39.129425,215
2001-07-23,51.000000,51.200001,51.000000,51.200001,40.068531,385
