Date,Open,High,Low,Close,Adj Close,Volume
2009-12-15,24.719999,25.070000,24.559999,24.940001,17.699612,2058200
2009-12-16,24.980000,25.740000,24.980000,25.700001,18.238976,5586800
2009-12-17,25.700001,25.799999,25.070000,25.299999,17.955099,8737000
2009-12-18,25.000000,25.299999,24.930000,25.250000,17.919617,3539200
2009-12-21,25.250000,25.260000,24.980000,25.030001,17.763487,1124000
2009-12-22,25.070000,25.150000,24.799999,24.950001,17.706709,1044900
2009-12-23,24.900000,24.950001,24.510000,24.510000,17.394447,964700
2009-12-24,24.510000,24.510000,24.510000,24.510000,17.394447,0
2009-12-25,24.510000,24.510000,24.510000,24.510000,17.394447,0
2009-12-28,24.510000,24.600000,24.160000,24.260000,17.217024,1358600
2009-12-29,24.260000,24.260000,24.260000,24.260000,17.217024,0
2009-12-30,24.500000,24.500000,24.150000,24.250000,17.209929,832000
2009-12-31,24.309999,24.500000,24.209999,24.500000,17.387348,456000
2010-01-01,24.500000,24.500000,24.500000,24.500000,17.387348,0
2010-01-04,24.450001,24.700001,24.250000,24.340000,17.273800,819000
2010-01-05,24.480000,24.480000,24.190001,24.340000,17.273800,2204300
2010-01-06,24.379999,24.379999,24.200001,24.270000,17.224121,1401600
2010-01-07,24.250000,24.250000,23.870001,23.870001,16.940247,1534100
2010-01-08,24.000000,24.200001,23.850000,23.889999,16.954441,937700
2010-01-11,24.240000,24.240000,23.900000,23.900000,16.961536,1962800
2010-01-12,24.000000,24.010000,23.250000,23.400000,16.606691,2004500
2010-01-13,23.389999,23.670000,23.150000,23.500000,16.677662,1955100
2010-01-14,23.530001,23.650000,23.190001,23.250000,16.500240,881100
2010-01-15,23.280001,23.379999,23.150000,23.150000,16.429270,1150000
2010-01-18,23.330000,23.330000,23.049999,23.299999,16.535725,1189000
2010-01-19,23.320000,23.600000,23.260000,23.600000,16.748631,993500
2010-01-20,23.660000,24.100000,23.600000,24.040001,17.060894,1862900
2010-01-21,24.040001,24.100000,23.809999,24.000000,17.032503,717000
2010-01-22,23.860001,23.870001,23.450001,23.590000,16.741533,648800
2010-01-25,23.350000,23.650000,23.299999,23.430000,16.627985,447500
2010-01-26,23.299999,23.299999,23.110001,23.219999,16.478949,479100
2010-01-27,23.250000,23.709999,23.139999,23.639999,16.777020,2508200
2010-01-28,23.750000,23.900000,23.500000,23.680000,16.805407,1408000
2010-01-29,23.440001,23.600000,23.299999,23.600000,16.748631,897800
