Data,Prognoza,Rzeczywista,Spółka
2023-03-20,,,MBANK
2023-03-21,275.2795307008976,288.0,MBANK
2023-03-22,271.115222287212,281.2,MBANK
2023-03-23,264.83653872194424,283.0,MBANK
2023-03-24,258.1932014485587,274.2,MBANK
2023-03-27,258.9376298693501,277.0,MBANK
2023-03-28,257.42374134604387,286.8,MBANK
2023-03-29,253.33031758627175,298.8,MBANK
2023-03-30,248.82745725001766,305.8,MBANK
2023-03-31,238.879284698082,306.4,MBANK
2023-04-03,236.8968956493688,319.0,MBANK
2023-04-04,236.46135774955445,324.4,MBANK
2023-04-05,230.95953384223657,320.8,MBANK
2023-04-06,226.33610643510784,323.4,MBANK
2023-04-07,217.39455281986193,323.4,MBANK
2023-04-10,217.22326122003702,323.4,MBANK
2023-04-11,217.0226317302789,329.8,MBANK
2023-04-12,212.39387915040658,342.2,MBANK
2023-04-13,207.3012365681648,350.8,MBANK
2023-04-14,198.73588508403304,356.6,MBANK
2023-04-17,198.2519916107838,356.0,MBANK
2023-04-18,197.57066405326367,360.0,MBANK
2023-04-19,192.8200744179025,365.2,MBANK
2023-04-20,188.0626159079563,366.2,MBANK
2023-04-21,178.94883980550512,366.4,MBANK
2023-04-24,178.10690282102047,352.2,MBANK
2023-04-25,177.6587956773627,349.4,MBANK
2023-04-26,172.71726919807008,338.0,MBANK
2023-04-27,167.89106278942344,354.6,MBANK
2023-04-28,159.01011039322285,347.5,MBANK
2023-05-01,158.49174623178575,347.5,MBANK
2023-05-02,158.04320548435314,341.7,MBANK
2023-05-03,153.26044305528598,341.7,MBANK
2023-05-04,148.3748943948153,334.3,MBANK
2023-05-05,139.51457700403316,344.7,MBANK
2023-05-08,138.9006724921623,354.7,MBANK
2023-05-09,138.3807242065019,346.8,MBANK
2023-05-10,133.55577416969913,355.2,MBANK
2023-05-11,128.72906041276016,349.5,MBANK
2023-05-12,119.78407100404497,350.1,MBANK
2023-05-15,119.13141627835462,339.9,MBANK
2023-05-16,118.65697164373691,345.8,MBANK
2023-05-17,113.8100284491171,341.1,MBANK
2023-05-18,108.96417215851416,344.0,MBANK
2023-05-19,100.06663860002601,364.9,MBANK
2023-05-22,99.4679701408423,366.5,MBANK
2023-05-23,98.98656168996736,370.0,MBANK
2023-05-24,94.16655919805252,360.0,MBANK
2023-05-25,89.31478194489874,368.0,MBANK
2023-05-26,80.41312119060002,378.0,MBANK
2023-05-29,79.79206168266884,379.0,MBANK
2023-05-30,79.3010917658243,366.6,MBANK
2023-05-31,74.47073175120659,352.8,MBANK
2023-06-01,69.62860019708401,356.8,MBANK
2023-06-02,60.71497563513175,384.5,MBANK
2023-06-05,60.09154946705874,388.0,MBANK
2023-06-06,59.608795052502295,396.0,MBANK
2023-06-07,54.77673537983989,379.6,MBANK
2023-06-08,49.930295092427066,379.6,MBANK
2023-06-09,41.02554054565877,397.7,MBANK
2023-06-12,40.41050024035125,378.9,MBANK
2023-06-13,39.92546475157635,375.8,MBANK
2023-06-14,35.097668501159646,394.2,MBANK
2023-06-15,30.251001144809678,396.4,MBANK
2023-06-16,21.344288052384382,404.4,MBANK
2023-06-19,20.724647022295997,396.8,MBANK
2023-06-20,20.238535733800546,394.4,MBANK
2023-06-21,15.4085530325232,396.0,MBANK
2023-06-22,10.563354289375212,395.2,MBANK
2023-06-23,1.6551592992492257,385.8,MBANK
2023-06-26,1.0358639490518182,408.1,MBANK
2023-06-27,0.5511373089882506,407.5,MBANK
2023-06-28,-4.278766594779957,404.0,MBANK
2023-06-29,-9.124828661890358,406.0,MBANK
2023-06-30,-18.03148011309055,406.1,MBANK
2023-07-03,-18.64958101185452,416.8,MBANK
2023-07-04,-19.13485675959253,412.0,MBANK
2023-07-05,-23.964138697725886,396.6,MBANK
2023-07-06,-28.81010362817806,409.1,MBANK
2023-07-07,-37.71728032269262,418.2,MBANK
2023-07-10,-38.33624639169329,407.3,MBANK
2023-07-11,-38.82159883956519,416.8,MBANK
2023-07-12,-43.65130017682842,432.9,MBANK
2023-07-13,-48.49706147245369,436.0,MBANK
2023-07-14,-57.404378866720194,450.0,MBANK
2023-07-17,-58.0231623591458,454.4,MBANK
2023-07-18,-58.508297299166635,466.0,MBANK
2023-07-19,-63.33792333026018,465.8,MBANK
2023-07-20,-68.1838438659257,463.1,MBANK
2023-07-21,-77.09091042374305,454.7,MBANK
2023-07-24,-77.7095440000313,461.0,MBANK
2023-07-25,-78.19479356384554,464.3,MBANK
2023-07-26,-83.02433853514276,469.9,MBANK
2023-07-27,-87.87022048364409,477.0,MBANK
2023-07-28,-96.77740317029009,477.0,MBANK
2023-07-31,-97.39618811621037,478.2,MBANK
2023-08-01,-97.88143170482876,470.6,MBANK
2023-08-02,-102.71105132551929,461.3,MBANK
2023-08-03,-107.55690884693927,458.8,MBANK
2023-08-04,-116.46409484606832,467.0,MBANK
2023-08-07,-117.0828296943932,461.1,MBANK
2023-08-08,-117.56804184851453,448.1,MBANK
2023-08-09,-122.39763895372414,448.4,MBANK
2023-08-10,-127.24352385565594,452.3,MBANK
2023-08-11,-136.15067205656297,448.7,MBANK
2023-08-14,-136.7693922102792,448.1,MBANK
2023-08-15,-137.25462617355862,448.1,MBANK
2023-08-16,-142.08421464011374,427.8,MBANK
2023-08-17,-146.9300896531753,416.0,MBANK
2023-08-18,-155.83726085189815,419.5,MBANK
2023-08-21,-156.4560057402483,420.2,MBANK
2023-08-22,-156.94123550835346,415.8,MBANK
2023-08-23,-161.77083638406904,409.0,MBANK
2023-08-24,-166.6167092645232,412.1,MBANK
2023-08-25,-175.5238774687972,413.8,MBANK
2023-08-28,-176.14261115800485,426.9,MBANK
2023-08-29,-176.62783688830655,432.0,MBANK
2023-08-30,-181.45743253477636,438.4,MBANK
2023-08-31,-186.303309809691,429.0,MBANK
2023-09-01,-195.21047284790586,428.0,MBANK
2023-09-04,-195.82920605025862,418.3,MBANK
2023-09-05,-196.31443563550528,422.8,MBANK
2023-09-06,-201.14403079039198,408.5,MBANK
2023-09-07,-205.98990592866974,401.4,MBANK
2023-09-08,-214.89707316963498,398.7,MBANK
2023-09-11,-215.51581012351008,399.7,MBANK
2023-09-12,-216.00103850049757,400.9,MBANK
2023-09-13,-220.8306355749928,407.1,MBANK
2023-09-14,-225.67651072014152,404.6,MBANK
2023-09-15,-234.5836768786443,407.8,MBANK
2023-09-18,-235.2024115985463,397.6,MBANK
2023-09-19,-235.68763955836562,394.2,MBANK
2023-09-20,-240.51723556428846,400.6,MBANK
2023-09-21,-245.36311136179205,396.3,MBANK
2023-09-22,-254.2702769162968,390.2,MBANK
2023-09-25,-254.8890119025291,381.1,MBANK
2023-09-26,-255.37424049877822,388.4,MBANK
2023-09-27,-260.2038365936282,381.6,MBANK
2023-09-28,-265.04971197453165,382.6,MBANK
2023-09-29,-273.95687824550765,395.3,MBANK
