Data,Nazwa,Prognozy
2024-04-09,MBANK,744.9655
2024-04-10,MBANK,745.6423
2024-04-11,MBANK,746.42596
2024-04-12,MBANK,747.3021
2024-04-13,MBANK,748.2429
2024-04-14,MBANK,749.23114
2024-04-15,MBANK,750.2522
2024-04-16,MBANK,751.2945
2024-04-17,MBANK,752.3484
2024-04-18,MBANK,753.40985
2024-04-19,MBANK,754.4751
2024-04-20,MBANK,755.53796
2024-04-21,MBANK,756.6067
2024-04-22,MBANK,757.6794
2024-04-23,MBANK,758.75525
2024-04-24,MBANK,759.82294
2024-04-25,MBANK,760.8972
2024-04-26,MBANK,761.97754
2024-04-27,MBANK,763.06396
2024-04-28,MBANK,764.1544
2024-04-29,MBANK,765.25037
2024-04-30,MBANK,766.3436
2024-05-01,MBANK,767.4411
2024-05-02,MBANK,768.5342
2024-05-03,MBANK,769.63745
2024-05-04,MBANK,770.7472
2024-05-05,MBANK,771.86
2024-05-06,MBANK,772.97894
2024-05-07,MBANK,774.109
2024-05-08,MBANK,775.24524
2024-04-09,PGE,7.1342006
2024-04-10,PGE,7.137758
2024-04-11,PGE,7.139159
2024-04-12,PGE,7.139086
2024-04-13,PGE,7.138443
2024-04-14,PGE,7.1373196
2024-04-15,PGE,7.1361723
2024-04-16,PGE,7.135106
2024-04-17,PGE,7.134248
2024-04-18,PGE,7.133545
2024-04-19,PGE,7.1330466
2024-04-20,PGE,7.132745
2024-04-21,PGE,7.132594
2024-04-22,PGE,7.1326647
2024-04-23,PGE,7.1328206
2024-04-24,PGE,7.1331697
2024-04-25,PGE,7.1335573
2024-04-26,PGE,7.1340075
2024-04-27,PGE,7.1345153
2024-04-28,PGE,7.1351824
2024-04-29,PGE,7.1359615
2024-04-30,PGE,7.1368885
2024-05-01,PGE,7.1378794
2024-05-02,PGE,7.1389275
2024-05-03,PGE,7.139975
2024-05-04,PGE,7.141117
2024-05-05,PGE,7.1422925
2024-05-06,PGE,7.1434813
2024-05-07,PGE,7.144741
2024-05-08,PGE,7.1459594
2024-04-09,JSW,37.481365
2024-04-10,JSW,37.529396
2024-04-11,JSW,37.618362
2024-04-12,JSW,37.73733
2024-04-13,JSW,37.875957
2024-04-14,JSW,38.028915
2024-04-15,JSW,38.191353
2024-04-16,JSW,38.360546
2024-04-17,JSW,38.533573
2024-04-18,JSW,38.709145
2024-04-19,JSW,38.885582
2024-04-20,JSW,39.062103
2024-04-21,JSW,39.23804
2024-04-22,JSW,39.41196
2024-04-23,JSW,39.584595
2024-04-24,JSW,39.75464
2024-04-25,JSW,39.921177
2024-04-26,JSW,40.084908
2024-04-27,JSW,40.244976
2024-04-28,JSW,40.40122
2024-04-29,JSW,40.55322
2024-04-30,JSW,40.701153
2024-05-01,JSW,40.845192
2024-05-02,JSW,40.985325
2024-05-03,JSW,41.1207
2024-05-04,JSW,41.25212
2024-05-05,JSW,41.37925
2024-05-06,JSW,41.502853
2024-05-07,JSW,41.62245
2024-05-08,JSW,41.738007
2024-04-09,PZU,49.564316
2024-04-10,PZU,49.80139
2024-04-11,PZU,50.0002
2024-04-12,PZU,50.171402
2024-04-13,PZU,50.32376
2024-04-14,PZU,50.463257
2024-04-15,PZU,50.594288
2024-04-16,PZU,50.719807
2024-04-17,PZU,50.841873
2024-04-18,PZU,50.96175
2024-04-19,PZU,51.080376
2024-04-20,PZU,51.198395
2024-04-21,PZU,51.316017
2024-04-22,PZU,51.433487
2024-04-23,PZU,51.551018
2024-04-24,PZU,51.66869
2024-04-25,PZU,51.7866
2024-04-26,PZU,51.904644
2024-04-27,PZU,52.02286
2024-04-28,PZU,52.14134
2024-04-29,PZU,52.260044
2024-04-30,PZU,52.378998
2024-05-01,PZU,52.498154
2024-05-02,PZU,52.61756
2024-05-03,PZU,52.737095
2024-05-04,PZU,52.85681
2024-05-05,PZU,52.976635
2024-05-06,PZU,53.096603
2024-05-07,PZU,53.216698
2024-05-08,PZU,53.3369
2024-04-09,PKOBP,60.200478
2024-04-10,PKOBP,60.57775
2024-04-11,PKOBP,60.92216
2024-04-12,PKOBP,61.24411
2024-04-13,PKOBP,61.550716
2024-04-14,PKOBP,61.84759
2024-04-15,PKOBP,62.13821
2024-04-16,PKOBP,62.425327
2024-04-17,PKOBP,62.710537
2024-04-18,PKOBP,62.99532
2024-04-19,PKOBP,63.280445
2024-04-20,PKOBP,63.566566
2024-04-21,PKOBP,63.854286
2024-04-22,PKOBP,64.14386
2024-04-23,PKOBP,64.43559
2024-04-24,PKOBP,64.7292
2024-04-25,PKOBP,65.02486
2024-04-26,PKOBP,65.3227
2024-04-27,PKOBP,65.62304
2024-04-28,PKOBP,65.92572
2024-04-29,PKOBP,66.231094
2024-04-30,PKOBP,66.53887
2024-05-01,PKOBP,66.84869
2024-05-02,PKOBP,67.16045
2024-05-03,PKOBP,67.47463
2024-05-04,PKOBP,67.79109
2024-05-05,PKOBP,68.11002
2024-05-06,PKOBP,68.43117
2024-05-07,PKOBP,68.75458
2024-05-08,PKOBP,69.07998
2024-04-09,SANPL,572.24084
2024-04-10,SANPL,575.5011
2024-04-11,SANPL,578.3849
2024-04-12,SANPL,580.9751
2024-04-13,SANPL,583.3465
2024-04-14,SANPL,585.5588
2024-04-15,SANPL,587.6612
2024-04-16,SANPL,589.68933
2024-04-17,SANPL,591.66974
2024-04-18,SANPL,593.61957
2024-04-19,SANPL,595.55255
2024-04-20,SANPL,597.4773
2024-04-21,SANPL,599.3979
2024-04-22,SANPL,601.31824
2024-04-23,SANPL,603.2407
2024-04-24,SANPL,605.1669
2024-04-25,SANPL,607.09686
2024-04-26,SANPL,609.0312
2024-04-27,SANPL,610.96924
2024-04-28,SANPL,612.9118
2024-04-29,SANPL,614.85803
2024-04-30,SANPL,616.809
2024-05-01,SANPL,618.76465
2024-05-02,SANPL,620.7244
2024-05-03,SANPL,622.68774
2024-05-04,SANPL,624.654
2024-05-05,SANPL,626.6234
2024-05-06,SANPL,628.59576
2024-05-07,SANPL,630.571
2024-05-08,SANPL,632.54956
2024-04-06,LPP,14328.74
2024-04-07,LPP,14417.447
2024-04-08,LPP,14456.283
2024-04-09,LPP,14462.545
2024-04-10,LPP,14447.999
2024-04-11,LPP,14420.18
2024-04-12,LPP,14383.83
2024-04-13,LPP,14342.018
2024-04-14,LPP,14296.555
2024-04-15,LPP,14248.916
2024-04-16,LPP,14199.989
2024-04-17,LPP,14149.748
2024-04-18,LPP,14098.972
2024-04-19,LPP,14047.636
2024-04-20,LPP,13996.235
2024-04-21,LPP,13945.0625
2024-04-22,LPP,13894.104
2024-04-23,LPP,13843.368
2024-04-24,LPP,13792.967
2024-04-25,LPP,13743.021
2024-04-26,LPP,13693.645
2024-04-27,LPP,13644.844
2024-04-28,LPP,13596.651
2024-04-29,LPP,13549.145
2024-04-30,LPP,13502.265
2024-05-01,LPP,13456.167
2024-05-02,LPP,13410.954
2024-05-03,LPP,13368.76
2024-05-04,LPP,13326.329
2024-05-05,LPP,13284.811
2024-04-06,ALLEGRO,31.170387
2024-04-07,ALLEGRO,31.037113
2024-04-08,ALLEGRO,30.88365
2024-04-09,ALLEGRO,30.717981
2024-04-10,ALLEGRO,30.545443
2024-04-11,ALLEGRO,30.36964
2024-04-12,ALLEGRO,30.192936
2024-04-13,ALLEGRO,30.016914
2024-04-14,ALLEGRO,29.842651
2024-04-15,ALLEGRO,29.670847
2024-04-16,ALLEGRO,29.501999
2024-04-17,ALLEGRO,29.336483
2024-04-18,ALLEGRO,29.174517
2024-04-19,ALLEGRO,29.016294
2024-04-20,ALLEGRO,28.861938
2024-04-21,ALLEGRO,28.711521
2024-04-22,ALLEGRO,28.56512
2024-04-23,ALLEGRO,28.422756
2024-04-24,ALLEGRO,28.284458
2024-04-25,ALLEGRO,28.150213
2024-04-26,ALLEGRO,28.020018
2024-04-27,ALLEGRO,27.893843
2024-04-28,ALLEGRO,27.771635
2024-04-29,ALLEGRO,27.653341
2024-04-30,ALLEGRO,27.538904
2024-05-01,ALLEGRO,27.428236
2024-05-02,ALLEGRO,27.321283
2024-05-03,ALLEGRO,27.218006
2024-05-04,ALLEGRO,27.118242
2024-05-05,ALLEGRO,27.02193
2024-04-09,ORANGEPL,8.067024
2024-04-10,ORANGEPL,8.082018
2024-04-11,ORANGEPL,8.09106
2024-04-12,ORANGEPL,8.095781
2024-04-13,ORANGEPL,8.097461
2024-04-14,ORANGEPL,8.096955
2024-04-15,ORANGEPL,8.094894
2024-04-16,ORANGEPL,8.0917425
2024-04-17,ORANGEPL,8.087826
2024-04-18,ORANGEPL,8.08336
2024-04-19,ORANGEPL,8.078515
2024-04-20,ORANGEPL,8.073411
2024-04-21,ORANGEPL,8.068108
2024-04-22,ORANGEPL,8.062669
2024-04-23,ORANGEPL,8.057114
2024-04-24,ORANGEPL,8.051505
2024-04-25,ORANGEPL,8.045871
2024-04-26,ORANGEPL,8.040187
2024-04-27,ORANGEPL,8.034478
2024-04-28,ORANGEPL,8.028763
2024-04-29,ORANGEPL,8.023043
2024-04-30,ORANGEPL,8.017332
2024-05-01,ORANGEPL,8.011626
2024-05-02,ORANGEPL,8.005947
2024-05-03,ORANGEPL,8.000258
2024-05-04,ORANGEPL,7.9945707
2024-05-05,ORANGEPL,7.9888983
2024-05-06,ORANGEPL,7.9832335
2024-05-07,ORANGEPL,7.977555
2024-05-08,ORANGEPL,7.971882
2024-04-09,CYFRPLSAT,10.604904
2024-04-10,CYFRPLSAT,10.615581
2024-04-11,CYFRPLSAT,10.623712
2024-04-12,CYFRPLSAT,10.63007
2024-04-13,CYFRPLSAT,10.635142
2024-04-14,CYFRPLSAT,10.639307
2024-04-15,CYFRPLSAT,10.642847
2024-04-16,CYFRPLSAT,10.645944
2024-04-17,CYFRPLSAT,10.648726
2024-04-18,CYFRPLSAT,10.6513
2024-04-19,CYFRPLSAT,10.653717
